序号,标题,原始链接,真实链接
14,"BNU研支团丨木铎金声,滋兰树蕙,我们的支教回忆——曾一智:初为人...",http://www.baidu.com/link?url=sYCIAR0DXFM_IUhxFFkMBm7fikzjeyM_0EWPeklwjT9CuhYg57Lvy_y2heCVYoEf4vtjETplZxx-zW9zzbxQacr_5P5FwwJyKDmO-9SGptZ2bDfiR6K1cNUeJPreIB6wLpfInyg3P_w10Dpj0cSC4_3Kof6vIc6C5eqYdpO408flMNqyvtKdKAwtIV1VeP501AXPi4nCSNIpYwa5i8Q1ImBHKdmvTuQ0UYSmiSjaCA__bns9hH9VHurnBfuZDYeoPa129zmztjaKNjFpwpryha,https://mp.weixin.qq.com/s?__biz=MzA5OTA0NTAxOQ==&mid=2652008539&idx=1&sn=2d762e7961382f88006132c3e1de5e59&chksm=8b6e8bafbc1902b9e72620c56802a27ee668b8e5d25ff5181e86a93d9ae2006dc1c1b0df5633&scene=27
15,...学部育智队赴舟曲县初级中学开展教育公益行动 - 北京师范大学...,http://www.baidu.com/link?url=uiOZyr5c-o_Vv5PrsNIFmaYoMLb7kL4AGf_3rSzuUMprMzKiw4Yp_4DFVo1hkpZGcobZqV2UEPWSGSkZiF4Qxq,https://fe.bnu.edu.cn/html/1/news/20241009/n8313.html
16,北师大研支团支教25年留下同频共振的青春印记_大学生志愿服务西部...,http://www.baidu.com/link?url=ILJ-6FhXNTxTW5xXdTdru84nUg2lfwb1erom5obvjiKdrMm86mClCbHQGuWYtlPtgNUkbab2c_SHtWDpLWjwRDpI9shihiCupsdDh-lk4uu,https://xibu.youth.cn/gzdt/gddt/202403/t20240320_15143393.htm
17,【教育强国 青年担当】北师大育晨队赴河南省商丘市梁园区谢集镇...,http://www.baidu.com/link?url=u59Sz_GwgNZaF0RQD8W3yHk3gx0FUxxz7gFBKj-_AOgu4PSrMSvQL2Y8gy_LnLVm-mT1fcWacOxfk67uNft64_,https://fe.bnu.edu.cn/html/1/news/20241015/n8340.html
18,此生为师 青春无悔 | 电影《一生只为一事来》在北师大首映!,http://www.baidu.com/link?url=yiH0oVgZ6N6Pd-5c7t3ewYtjlkG2t88rcyJw3sJB4pCphgd2tMRHWD_FTn2trHXO5Jo-RUBk0ElsoHg2otrBxOpJiD-hx1JNfyFYNDSPZE7,http://baijiahao.baidu.com/s?id=1643933170425976659&wfr=spider&for=pc
19,"暑期支教回顾丨 幼松教育扶贫专项行动,北师大学子在路上!_澎湃号·政...",http://www.baidu.com/link?url=bzPhgICW0Sitf-FkMqynN7_p073SI6sCufU6Ix-zqZDMqCDcshzEvsEur00Y8zS0kknJM8knMad8zdDRg3HTCq,https://www.thepaper.cn/newsDetail_forward_4374270
20,【教育强国 青年担当】北师大乐学队赴湖南省娄底市新化县奉家镇报...,http://www.baidu.com/link?url=u59Sz_GwgNZaF0RQD8W3yHk3gx0FUxxz7gFBKj-_AOgu4PSrMSvQL2Y8gy_LnLVmopfsvgHOk76AniuY1dtIKq,https://fe.bnu.edu.cn/html/1/news/20241008/n8312.html
21,《我的故事》_CCTV节目官网-纪录片_央视网(cctv.com),http://www.baidu.com/link?url=luWoUCTxddL_xYvICpUSCjM5LjAucEcMkToSRFgBcTlAexj-lGHUd_s58o5gS2WSov49PV9O3RVD9W65oVEOWq,http://tv.cntv.cn/video/VSET100220135153
22,首页_北京师范大学,http://www.baidu.com/link?url=pZqu7jSnHOcptcn_jsvLNqD1zqg7uueKH3Mx_NrkHlHh8nDUaG3UAF6uLGg_86Pmwr8egGEm7kR0dgkeFH0YGpbtNAFldPx2MulayGTCE4_,https://sjc.bnu.edu.cn/dyxg/zbjs/87608738bd3f4946838af74844f4ffff.html
23,"...携小朋友送来新年祝福,快来一起查看吧~ - 北京师范大学化学学院",http://www.baidu.com/link?url=lDds3D1L2sLVSzZO0H17ui9lm6awKusnbpxJuxyL9lcEv30PAZLrx-HUrM6NHGc0qUGs4OvIhcOyh4SMj6DrNK,http://www.chem.bnu.edu.cn/xsyd/xshd/243231.html
24,找到了18年前的支教老师:用青春书写跨越时空的师生情_中国江苏网,http://www.baidu.com/link?url=H60wDg0IPoVOUQTcGome2QsV7sG3Hgyy1dWj0eVVSILu_WD6v_F02X282xEOfIIpePPqeeuEFOw76NY8qUsv-Z0mEjPBw_q7tW4CCArXCHF4-jJqKxM9Fze1FmSfFq3Pm5QmF5VEG66I_C5zHeCC1_,https://review.jschina.com.cn/zjwpds/2024/zuopinzhanshi/gaoxiao/202410/t20241028_3517288.shtml
25,支教精神传承:北师大研支团塔城分队的青春使命,http://www.baidu.com/link?url=pZqu7jSnHOcptcn_jsvLN587J2e9bvmln_vpa2zh05K83HttV3vOfqDFQdwirkq4Jf8lSdMAezIszV0GKcYew_WBtHfM3Q1IPloARnH6TzS,https://baijiahao.baidu.com/s?id=1836457022645969638&wfr=spider&for=pc
26,北京师范大学生命科学学院,http://www.baidu.com/link?url=diPYipKAcVh4M_dFGhxI1hPasxne0XYMRD71is-ztVPZ-pKi86FOfS_pAlHQEGm_35qSQiqyuIi-0JiIdl4KfuvStfX2YtSoDtbNm2EEkhUm1unyRjO9Nkz8HlT8ep8u,https://cls.bnu.edu.cn/djzc/djdt/djzx/cd7deeec2d934e1e99e3c5d273b03422.htm
27,贵州男孩北师大毕业选择回乡 支教经历赶走抑郁症-中新网,http://www.baidu.com/link?url=sO7CwoPRB-hJAceFhz3Cj1tL9GallrfOr7Mwx0UpsncuW1FQ7C4OIKsaOjpHgsQGa3QOXZl8GjNzSx4WbX185MGhB0g28Mp4mTxuUCgFLE_,https://www.chinanews.com.cn/edu/2013/07-22/5067755.shtml
28,北京师范大学:经天纬地 格物穷理——地理科学学部2024年暑期社会...,http://www.baidu.com/link?url=gMTJePFjhJ_p0z0w0jltmCbHyLudCOQjB9jVAoqrbSyxe2HEjrqgX6HcXAuCowkKu8wxVWVjgi84BbeY4wFAph2ZM_ZvAd3DvVd7mP97kL3iBW9dp53jQb6OB8sjMqZu,https://www.casl.org.cn/xwdt/cyxw/art/2024/art_1040ee2e6ef34f6f9f5762d2c296178e.html
29,北师大岩口支教队队长朱启平的人生三道考题--教育--人民网,http://www.baidu.com/link?url=sO7CwoPRB-hJAceFhz3CjB74xVtR8RCcFcqglNVa8CgG_juEyt_RNwdUSHnhr1-FnLh6J-sJsRp6-PdrTlg_h5DAgd_HvFPmJeHoeegxDWW,http://edu.people.com.cn/n/2013/0502/c1053-21337266.html
30,"青春有为,强师有我!北师大支教团:用电影为媒,走进乡村教育!",http://www.baidu.com/link?url=oddrAdfU0n3vT9REh86ZuX3zXTu1a_jlkC7DrmZA_QOP1mUi99Pkj2lqK9a96WD3ZeHDsYZw3R4-5NG4bGZn_TdGxpptDDSaVneIkkV_9Wm,https://baijiahao.baidu.com/s?id=1775113266376163440&wfr=spider&for=pc
31,西部支教教师的感人故事:青春在祖国最需要的地方绽放光彩,http://www.baidu.com/link?url=oddrAdfU0n3vT9REh86ZuX3zXTu1a_jlkC7DrmZA_QQKH2HQFtWvd5U1ldV7Gc2u0WVlotIDizs0D7VEngUkjQpL_07un3U5wp7lkxeYCf7,https://baijiahao.baidu.com/s?id=1832579133356260258&wfr=spider&for=pc
32,"大学生支教:不能天长地久,只愿曾经拥有?-北京物资学院新闻中心",http://www.baidu.com/link?url=rlW_ibaI19ODCm85uOSW_ro6CjMY7sjHRIU88JVUm-zZ0KkhLvaKCaNCNP0nlX65IWzTm9x1Rk8xs-rkjhOaFq,https://news.bwu.edu.cn/info/1063/12101.htm
33,北京师范大学“同语同心 数智赋能”支教团队走进科右中旗_澎湃号·媒...,http://www.baidu.com/link?url=6_hAT1955H83HKM215JJN10S3kNK4FZ32WxmlAMtpTEMfVGIS20xGjPQnmHIMuMLIQpcUzq_lwijs7eLqL52pq,https://www.thepaper.cn/newsDetail_forward_31096766
34,"学为人师传薪火,行为世范育桃李!北师大人这样做",http://www.baidu.com/link?url=6_hAT1955H83HKM215JJN1dRRP1hIZi22saQlnlAJWbgOhzFNdLX8cIOEatD5fjvR2m5jRGTR17J4xN7JaBrlEWm1dLZbKDpXakLGoilr7O,http://news.cyol.com/gb/articles/2023-12/31/content_lbKJGMSWAQ.html
35,...玉树支教 - 附中新闻 - 北京师范大学附属中学,http://www.baidu.com/link?url=Y-eF6atLPyD-ZzxUGsWe3BDNG-xEReyK-Cin9UcaV0WV3MwlcxkCE-rT7E-1zJxcEhQRo757OKtv61EaYFAfWa,https://www.bjsdfz.com/show-30-2947-1.html
36,强师筑梦——2024年学生暑期社会实践纪实(一),http://www.baidu.com/link?url=G4YHlA0KU_9k9qmCYFQSYvqgP2XHZQ-BZDzZfKzMV7785PLdHIcNZnlJXCQhf6XSACPXfjLG_cMVzUl-QGfABGpqB0A2CeFw3xNO-4WGC4e,https://news.bnu.edu.cn/zx/zhxw/f091c5e194a7425ab24536b2acd47304.htm
37,"2020暑期限定记忆,想把我的云端支教故事讲给你听!_澎湃号·政务...",http://www.baidu.com/link?url=DHUuHUz-o18e5Q5U_n8q9WoevcckTE8auzICNKzoi_fQyDLgQqs-qBPO__-qHmbsxnSeA45k1pGyWn9KbE3M3K,https://www.thepaper.cn/newsDetail_forward_8992038
38,退休老校长下乡支教 北师大学生加入助教团,http://www.baidu.com/link?url=MJ_Zrqn8FA4OgQecDD5rU30B8pjYyG4S_BxazFL2r1dtVa1wj6biQaW1DVCj8hNdlwfw8UWteUP2wNDaQj5yg0zeC8SLetO0J1xD8jHbqZa,https://baijiahao.baidu.com/s?id=1611203157825349666&wfr=spider&for=pc
39,卢立涛:北师大教育人应有的贡献 - 北京师范大学党委宣传部 新闻中心,http://www.baidu.com/link?url=y9rZNwwrg6BDw7V7_eX2EFhI9Z9fHn-RAcxC314XwOLTKQqRkARh2FtmQqTbVF8bKnLXYpLo03q4Lu22OZz2sq,https://xcb.bnu.edu.cn/llxx/sdkm/12190.html
40,北京师范大学:一所高校跨越百年的乡村实践,http://www.baidu.com/link?url=twxYnOj6Oc3yCn4PPhMvj0wbk_VKpfX3gOEFeK8T2hjNkmBTQe5BIlWnA_ZuS1DyN-pug_UV4Un5MbYIycp_5kYuJeM2T6_IS7uo17nJFy7,http://baijiahao.baidu.com/s?id=1743858620142022447&wfr=spider&for=pc
